#  d/Mpc   "v"/km/s
276.233 20514.69
262.961 20667.89
283.905 20626.12
303.524 20790.39
313.474 20798.74
311.814 21090.81
301.789 21360.34
285.496 21582.43
287.571 21551.90
290.999 21615.72
303.216 21615.72
339.919 21682.30
300.396 21723.91
312.753 21801.55
303.012 22626.46
341.624 22565.65
371.761 22609.88
385.500 22609.88
306.806 22665.15
334.099 22725.94
297.149 22753.56
306.742 22933.06
316.111 23093.11
323.824 23415.69
338.476 23636.02
316.980 23729.60
366.626 23803.90
362.099 24034.89
340.811 24523.69
341.685 24830.78
330.080 25356.35
352.009 25812.60
369.565 25951.78
392.548 26265.32
403.611 26545.81
442.867 28400.63
414.655 28870.28
435.886 29126.33
405.430 29110.17
392.403 29290.60
420.760 29398.26
397.012 29433.24
439.134 29793.51
405.803 30204.22
445.036 30327.57
438.304 30354.38
514.947 30445.50
452.202 30507.12
432.276 30665.12
431.960 30868.50
466.384 31141.20
476.439 31821.61
427.338 32146.47
457.496 32845.32
476.694 32863.89
463.796 33144.96
471.445 33224.46
431.231 33293.33
461.143 33507.76
467.706 33809.23
511.846 33941.34
475.863 34007.37
466.601 34331.96
470.280 34379.42
486.214 34521.75
466.604 34629.77
470.718 34716.67
512.370 34769.32
517.865 34787.75
477.972 34824.60
520.350 34843.02
502.737 35029.78
598.447 35258.44
444.172 35431.76
513.597 35641.67
484.261 35657.41
497.321 35686.25
506.797 35715.10
499.167 36197.05
519.219 36207.52
517.362 36272.92
519.675 36301.70
509.019 36858.15
504.323 37160.65
513.928 37369.04
517.901 37379.45
620.106 37665.68
576.037 37798.27
549.598 38019.09
517.570 38125.52
557.429 38247.47
545.224 38270.82
652.152 38356.40
525.964 38568.92
541.813 38587.05
560.204 38602.59
564.609 38628.49
554.087 38716.53
566.179 38706.18
559.128 38952.00
600.245 39238.91
630.195 39275.07
563.409 39337.05
585.300 39368.03
564.043 39860.61
699.682 39922.43
581.416 39945.61
571.136 40058.90
555.566 40115.52
590.785 40431.83
599.604 40665.58
591.839 40747.72
553.811 40965.76
541.710 40934.99
584.808 41011.91
592.135 41006.78
610.538 41147.73
559.408 41096.48
555.605 41165.66
591.382 41327.00
577.661 41431.93
575.872 41720.90
592.638 41800.11
559.938 42103.92
635.413 42323.23
604.861 42404.78
572.699 42437.90
615.682 42458.28
646.850 42493.94
601.124 42885.85
620.846 42926.52
656.493 42949.40
538.463 43134.89
600.592 43294.84
564.975 43761.37
662.574 43933.54
531.979 43974.04
567.473 44006.93
554.713 44194.08
604.360 44148.57
597.788 44262.33
661.018 44285.08
600.561 44322.98
626.846 44509.87
630.607 44726.88
617.089 45072.14
611.803 45258.42
630.524 45318.80
627.186 45376.64
679.341 45665.67
588.383 45670.69
613.245 46227.56
684.157 46522.99
735.161 46585.54
670.728 46758.06
691.490 47027.83
665.726 47075.26
678.185 47282.31
608.581 47369.57
751.672 47389.51
642.786 47471.74
689.527 47576.35
631.451 47583.82
708.133 47641.09
699.861 47683.40
626.114 47695.85
678.074 47760.55
693.669 47750.60
671.751 47753.08
756.319 47889.89
680.257 48314.71
677.852 48421.40
667.631 48500.77
626.396 48599.94
721.886 48627.21
835.778 48773.38
718.990 48899.66
761.975 48914.51
684.742 48964.01
689.388 49060.50
689.682 49070.39
703.777 49119.85
846.710 49147.05
633.493 49263.23
673.908 49317.59
743.366 49329.95
717.285 49337.36
709.376 49347.24
711.351 49369.47
723.287 49512.69
668.383 49475.66
640.669 49537.37
699.248 49673.07
679.992 49705.14
732.858 49707.60
764.970 49771.72
702.668 50023.05
728.972 50116.62
753.592 50099.38
768.940 50128.92
820.667 50266.72
